file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/PaymentSession.java,concordia.soen6611.igo_tvm.Services.PaymentSession$Origin,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/PaymentController.java,concordia.soen6611.igo_tvm.controllers.PaymentController,class,25,27,2,25,36,1,0,59,0,0.85714287,0.0,0.0,16,0,7,9,0,0,7,0,0,0,20,2,2,18,0,0,5,0,6,217,0,0,9,4,2,49,4,34,0,53,3,0,1,4,294,1,13
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/config/MessagesConfig.java,concordia.soen6611.igo_tvm.config.MessagesConfig,class,4,4,0,4,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,3,0,1,0,1,0,0,0,0,10,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/exceptions/NetworkException.java,concordia.soen6611.igo_tvm.exceptions.NetworkException,class,1,3,2,1,2,5,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/ErrorDialogController.java,concordia.soen6611.igo_tvm.controllers.ErrorDialogController,class,11,13,2,11,10,1,0,20,2,0.74000007,0.0,0.0,5,0,2,3,0,0,2,0,0,0,10,1,0,10,0,0,1,0,1,47,2,1,4,0,0,17,0,4,1,13,1,0,0,0,119,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/MobileWalletController.java,concordia.soen6611.igo_tvm.controllers.MobileWalletController,class,23,24,1,23,11,1,0,34,14,0.8055556,0.0,0.0,9,0,2,7,0,0,2,0,0,0,13,2,0,13,0,0,5,0,1,87,0,0,0,2,1,13,2,12,0,24,1,0,0,4,206,1,4
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/PaymentController.java,concordia.soen6611.igo_tvm.controllers.PaymentController$Method,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/controllers/PaymentSuccessController.java,concordia.soen6611.igo_tvm.controllers.PaymentSuccessController,class,23,24,1,23,18,1,0,52,30,0.85714287,0.0,0.0,12,0,2,10,0,0,2,0,0,0,15,1,0,15,0,0,4,0,1,142,1,0,3,3,0,32,6,26,1,45,1,0,0,5,275,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/models/Payment.java,concordia.soen6611.igo_tvm.models.Payment,class,0,2,2,0,7,1,0,0,3,0.5714286,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,0,28,3,0,0,0,0,1,0,6,0,3,0,0,0,0,69,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/I18nService.java,concordia.soen6611.igo_tvm.Services.I18nService,class,6,18,12,6,7,1,0,10,2,0.5,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,1,1,0,0,2,0,0,40,4,0,0,2,0,12,0,5,6,5,1,0,0,0,136,1,0
/Users/mohammadalshariar/Masters in Applied Computer Science/SOFTWARE MEASUREMENT/igo-tvm/src/main/java/concordia/soen6611/igo_tvm/Services/TextZoomService.java,concordia.soen6611.igo_tvm.Services.TextZoomService,class,5,7,2,5,39,1,0,34,75,0.8125,0.0,0.0,18,5,12,6,0,0,12,0,0,0,8,4,0,8,0,0,7,0,13,120,11,4,7,0,2,13,5,21,6,18,2,0,0,2,178,1,0
